LastName,FirstName,CarID,CurrentEmploymentType,CurrentEmploymentTitle
Calixto,Nils,1,Information Technology,IT Helpdesk
Azada,Lars,2,Engineering,Engineer
Balas,Felix,3,Engineering,Engineer
Barranco,Ingrid,4,Executive,SVP/CFO
Baza,Isak,5,Information Technology,IT Technician
Bergen,Linnea,6,Information Technology,IT Group Manager
Orilla,Elsa,7,Engineering,Drill Technician
Alcazar,Lucas,8,Information Technology,IT Technician
Cazar,Gustav,9,Engineering,Drill Technician
Campo-Corrente,Ada,10,Executive,SVP/CIO
Calzas,Axel,11,Engineering,Hydraulic Technician
Cocinaro,Hideki,12,Security,Site Control
Ferro,Inga,13,Security,Site Control
Dedos,Lidelse,14,Engineering,Engineering Group Manager
Bodrogi,Loreto,15,Security,Site Control
Vann,Isia,16,Security,Perimeter Control
Flecha,Sven,17,Information Technology,IT Technician
Frente,Birgitta,18,Engineering,Geologist
Frente,Vira,19,Engineering,Hydraulic Technician
Fusil,Stenig,20,Security,Building Control
Osvaldo,Hennie,21,Security,Perimeter Control
Nubarron,Adra,22,Security,Badging Office
Lagos,Varja,23,Security,Badging Office
Mies,Minke,24,Security,Perimeter Control
Herrero,Kanon,25,Engineering,Geologist
Onda,Marin,26,Engineering,Drill Site Manager
Orilla,Kare,27,Engineering,Drill Technician
Borrasca,Isande,28,Engineering,Drill Technician
Ovan,Bertrand,29,Facilities,Facilities Group Manager
Resumir,Felix,30,Security,Security Group Manager
Sanjorge Jr.,Sten,31,Executive,President/CEO
Strum,Orhan,32,Executive,SVP/COO
Tempestad,Brand,33,Engineering,Drill Technician
Vann,Edvard,34,Security,Perimeter Control
Vasco-Pais,Willem,35,Executive,Environmental Safety Advisor
Hafon,Albina,,Facilities,Truck Driver
Hawelon,Benito,,Facilities,Truck Driver
Hawelon,Claudio,,Facilities,Truck Driver
Mies,Henk,,Facilities,Truck Driver
Morlun,Valeria,,Facilities,Truck Driver
Morlun,Adan,,Facilities,Truck Driver
Morluniau,Cecilia,,Facilities,Truck Driver
Nant,Irene,,Facilities,Truck Driver
Scozzese,Dylan,,Facilities,Truck Driver
